"","GHCN_ID","TMAX","TMIN"
"42457","USC00022782",65.5,40.1
"42458","USC00022782",65.7,40.2
"42459","USC00022782",65.8,40.2
"42460","USC00022782",66,40.3
"42461","USC00022782",66.2,40.4
"42462","USC00022782",66.4,40.4
"42463","USC00022782",66.5,40.5
"42464","USC00022782",66.7,40.5
"42465","USC00022782",66.9,40.6
"42466","USC00022782",67,40.7
"42467","USC00022782",67.2,40.7
"42468","USC00022782",67.4,40.8
"42469","USC00022782",67.5,40.8
"42470","USC00022782",67.7,40.8
"42471","USC00022782",67.8,40.9
"42472","USC00022782",67.9,40.9
"42473","USC00022782",68.1,40.9
"42474","USC00022782",68.2,41
"42475","USC00022782",68.3,41
"42476","USC00022782",68.4,41
"42477","USC00022782",68.5,41
"42478","USC00022782",68.6,41
"42479","USC00022782",68.7,41
"42480","USC00022782",68.7,41.1
"42481","USC00022782",68.8,41.1
"42482","USC00022782",68.9,41.1
"42483","USC00022782",69,41.1
"42484","USC00022782",69,41.1
"42485","USC00022782",69.1,41.2
"42486","USC00022782",69.2,41.2
"42487","USC00022782",69.2,41.2
"42488","USC00022782",69.3,41.3
"42489","USC00022782",69.3,41.3
"42490","USC00022782",69.4,41.4
"42491","USC00022782",69.5,41.4
"42492","USC00022782",69.5,41.5
"42493","USC00022782",69.6,41.6
"42494","USC00022782",69.7,41.6
"42495","USC00022782",69.8,41.7
"42496","USC00022782",69.9,41.8
"42497","USC00022782",70,41.9
"42498","USC00022782",70.1,42
"42499","USC00022782",70.2,42.1
"42500","USC00022782",70.4,42.3
"42501","USC00022782",70.5,42.4
"42502","USC00022782",70.6,42.5
"42503","USC00022782",70.8,42.7
"42504","USC00022782",71,42.8
"42505","USC00022782",71.2,43
"42506","USC00022782",71.4,43.2
"42507","USC00022782",71.6,43.4
"42508","USC00022782",71.8,43.5
"42509","USC00022782",72,43.7
"42510","USC00022782",72.3,43.9
"42511","USC00022782",72.5,44.1
"42512","USC00022782",72.8,44.3
"42513","USC00022782",73.1,44.5
"42514","USC00022782",73.4,44.7
"42515","USC00022782",73.6,44.9
"42516","USC00022782",73.8,45
"42517","USC00022782",73.9,45.1
"42518","USC00022782",74.3,45.3
"42519","USC00022782",74.6,45.5
"42520","USC00022782",74.9,45.7
"42521","USC00022782",75.2,45.9
"42522","USC00022782",75.5,46.1
"42523","USC00022782",75.9,46.3
"42524","USC00022782",76.2,46.5
"42525","USC00022782",76.6,46.7
"42526","USC00022782",76.9,46.9
"42527","USC00022782",77.2,47
"42528","USC00022782",77.6,47.2
"42529","USC00022782",77.9,47.4
"42530","USC00022782",78.3,47.6
"42531","USC00022782",78.6,47.8
"42532","USC00022782",78.9,48
"42533","USC00022782",79.3,48.1
"42534","USC00022782",79.6,48.3
"42535","USC00022782",79.9,48.5
"42536","USC00022782",80.2,48.6
"42537","USC00022782",80.5,48.8
"42538","USC00022782",80.8,49
"42539","USC00022782",81.1,49.2
"42540","USC00022782",81.4,49.3
"42541","USC00022782",81.7,49.5
"42542","USC00022782",82,49.7
"42543","USC00022782",82.2,49.8
"42544","USC00022782",82.5,50
"42545","USC00022782",82.8,50.2
"42546","USC00022782",83,50.4
"42547","USC00022782",83.2,50.6
"42548","USC00022782",83.5,50.8
"42549","USC00022782",83.7,51
"42550","USC00022782",83.9,51.2
"42551","USC00022782",84.1,51.4
